service_id,date,exception_type
001-18-0950102025-M#FR,20251009,2
001-18-0950102025-M#FR,20251010,2
001-18-0950102025-M#FR,20251016,2
001-18-0950102025-M#FR,20251017,2
001-18-0950102025-M#FR,20251023,2
001-18-0950102025-M#FR,20251024,2
001-18-0950102025-M#FR,20251026,2
001-18-0950112025-M#FR,20251122,2
001-18-0950122025-M#FR,20251206,2
001-18-0950122025-M#FR,20251208,2
001-18-0950122025-M#FR,20251213,2
001-2-0650122025-M#FR,20251208,2
001-26-1230102025-M#FR,20251009,2
001-26-1230102025-M#FR,20251016,2
001-26-1230102025-M#FR,20251023,2
001-26-1315102025-M#FR,20251002,2
001-26-1330012026-M#FR,20260108,2
001-26-1330102025-M#FR,20251006,2
001-26-1330102025-M#FR,20251010,2
001-26-1330102025-M#FR,20251013,2
001-26-1330102025-M#FR,20251017,2
001-26-1330102025-M#FR,20251020,2
001-26-1330102025-M#FR,20251024,2
001-26-1330102025-M#FR,20251026,2
001-26-1330122025-M#FR,20251204,2
001-26-1330122025-M#FR,20251211,2
001-26-1415122025-M#FR,20251218,2
001-29-1250122025-FR#M,20251208,2
001-29-1440122025-FR#M,20251215,2
001-29-1440122025-FR#M,20251222,2
001-3-0550102025-FR#M,20251009,2
001-3-0550102025-FR#M,20251016,2
001-3-0550102025-FR#M,20251023,2
001-3-0650012026-FR#M,20260108,2
001-3-0650102025-FR#M,20251002,2
001-3-0650102025-FR#M,20251003,2
001-3-0650102025-FR#M,20251006,2
001-3-0650102025-FR#M,20251010,2
001-3-0650102025-FR#M,20251013,2
001-3-0650102025-FR#M,20251017,2
001-3-0650102025-FR#M,20251020,2
001-3-0650102025-FR#M,20251024,2
001-3-0650102025-FR#M,20251026,2
001-3-0650102025-FR#M,20251028,2
001-3-0650102025-FR#M,20251029,2
001-3-0650102025-FR#M,20251030,2
001-3-0650122025-FR#M,20251204,2
001-3-0650122025-FR#M,20251211,2
001-3-0750122025-FR#M,20251218,2
001-3-0750122025-FR#M,20251225,2
001-35-1530102025-FR#M,20251009,2
001-35-1530102025-FR#M,20251010,2
001-35-1530102025-FR#M,20251016,2
001-35-1530102025-FR#M,20251017,2
001-35-1530102025-FR#M,20251023,2
001-35-1530102025-FR#M,20251024,2
001-35-1530102025-FR#M,20251026,2
001-35-1530112025-FR#M,20251122,2
001-35-1530122025-FR#M,20251206,2
001-35-1530122025-FR#M,20251208,2
001-35-1530122025-FR#M,20251213,2
001-38-1505102025-M#FR,20251009,2
001-38-1505102025-M#FR,20251016,2
001-38-1505102025-M#FR,20251023,2
001-38-1605012026-M#FR,20260108,2
001-38-1605112025-M#FR,20251117,2
001-38-1605112025-M#FR,20251124,2
001-38-1605122025-M#FR,20251208,2
001-38-1605122025-M#FR,20251211,2
001-5-0815102025-FR#M,20251009,2
001-5-0815102025-FR#M,20251016,2
001-5-0815102025-FR#M,20251023,2
001-5-0915012026-FR#M,20260108,2
001-5-0915112025-FR#M,20251117,2
001-5-0915112025-FR#M,20251124,2
001-5-0915122025-FR#M,20251208,2
001-5-0915122025-FR#M,20251211,2
001-8-0845122025-M#FR,20251215,2
001-8-0845122025-M#FR,20251222,2
006-1-0830122025-ZH#M,20251208,2
006-1-0830122025-ZH#M,20251209,2
006-1-0830122025-ZH#M,20251210,2
006-1-0830122025-ZH#M,20251211,2
006-1-0830122025-ZH#M,20251216,2
006-1-0830122025-ZH#M,20251217,2
006-1-0830122025-ZH#M,20251222,2
006-2-0720122025-M#ZH,20251216,2
006-2-0720122025-M#ZH,20251217,2
006-3-1330122025-ZH#M,20251216,2
006-3-1330122025-ZH#M,20251217,2
006-8-1720122025-M#ZH,20251208,2
006-8-1720122025-M#ZH,20251209,2
006-8-1720122025-M#ZH,20251210,2
006-8-1720122025-M#ZH,20251211,2
006-8-1720122025-M#ZH,20251216,2
006-8-1720122025-M#ZH,20251217,2
007-72-0650102025-DHA#ZH,20251008,2
007-72-0650102025-DHA#ZH,20251015,2
007-72-0650102025-DHA#ZH,20251022,2
007-72-0750122025-DHA#ZH,20251203,2
007-72-0750122025-DHA#ZH,20251210,2
007-73-0600122025-ZH#DHA,20251202,2
007-73-0600122025-ZH#DHA,20251209,2
008-22-0435012026-RTL#FR,20260108,2
008-22-0435122025-RTL#FR,20251202,2
008-22-0435122025-RTL#FR,20251203,2
008-22-0435122025-RTL#FR,20251209,2
008-22-0435122025-RTL#FR,20251210,2
008-3-1000012026-FR#STF,20260108,2
008-3-1000122025-FR#STF,20251202,2
008-3-1000122025-FR#STF,20251203,2
008-3-1000122025-FR#STF,20251209,2
008-3-1000122025-FR#STF,20251210,2
008-6-1310012026-STF#FR,20260108,2
008-6-1310122025-STF#FR,20251202,2
008-6-1310122025-STF#FR,20251203,2
008-6-1310122025-STF#FR,20251209,2
008-6-1310122025-STF#FR,20251210,2
008-7-1735012026-FR#RTL,20260108,2
008-7-1735122025-FR#RTL,20251202,2
008-7-1735122025-FR#RTL,20251203,2
008-7-1735122025-FR#RTL,20251209,2
008-7-1735122025-FR#RTL,20251210,2
011-1-0545122025-FR#AMD,20251202,2
011-1-0545122025-FR#AMD,20251203,2
011-1-0545122025-FR#AMD,20251209,2
011-1-0545122025-FR#AMD,20251210,2
011-1-0545122025-FR#AMD,20251216,2
011-11-1525122025-KNZ#SB,20251203,2
011-11-1525122025-KNZ#SB,20251210,2
011-11-1525122025-KNZ#SB,20251217,2
011-12-0745122025-SB#KNZ,20251203,2
011-12-0745122025-SB#KNZ,20251210,2
011-12-0745122025-SB#KNZ,20251217,2
011-2-0600012026-AMD#FR,20260108,2
011-2-0600122025-AMD#FR,20251203,2
011-2-0600122025-AMD#FR,20251204,2
011-2-0600122025-AMD#FR,20251210,2
011-2-0600122025-AMD#FR,20251211,2
